,,,,,,,,,,,,
Jo,Jo,Equipo_local,Equipo_visitante,Fecha,Hora,Pabellon,Categoria,Grupo,Sexo,1er Arbitro,2º Árbitro,Anotador/a
9154,2,CD Maristas Badajoz B,Club + Voley Badajoz C,2025-10-17 (Viernes),18:30,Colegio Maristas (Badajoz),INFANTIL,Grupo9,Femenino,Alicia Garcia,,
9333,2,CD Maristas Badajoz B,Club Pacense Voleibol C,2025-10-17 (Viernes),20:00,Colegio Maristas (Badajoz),CADETE,Grupo9,Femenino,Alicia Garcia,,
9296,2,AD Medina Cauria ,Club Polideportivo Brocense ,2025-10-17 (Viernes),17:30,P. Municipal (Coria),CADETE,Grupo6,Femenino,Jesus Gómez,Justo Prieto,Paula Ortíz
9475,2,AD Medina Cauria ,Club Polideportivo Brocense ,2025-10-17 (Viernes),19:00,P. Municipal (Coria),JUVENIL,Grupo6,Femenino,Jesus Gómez,Justo Prieto,
9117,2,AD Medina Cauria A,Club Polideportivo Brocense ,2025-10-17 (Viernes),19:00,P. Municipal (Coria),INFANTIL,Grupo6,Femenino,Paula Ortíz,,
9308,2,CV Llerena ,Agrupación Polideportiva San José A,2025-10-17 (Viernes),17:30,P. Municipal (Llerena),CADETE,Grupo7,Femenino,Carmen Alcalde,García Morales,Irene Mosquero
9487,2,CV Llerena ,Agrupación Polideportiva San José ,2025-10-17 (Viernes),19:00,P. Municipal (Llerena),JUVENIL,Grupo7,Femenino,García Morales,Irene Mosquero,
9129,2,CV Llerena ,Agrupación Polideportiva San José A,2025-10-17 (Viernes),19:00,P. Municipal (Llerena),INFANTIL,Grupo7,Femenino,Carmen Alcalde,,
9084,2,Club Voleibol A7 A,CP Don Bosco A,2025-10-17 (Viernes),16:30,P. Unex (Badajoz),CADETE,Grupo3,Femenino,Luis Bravo,,
9263,2,Club Voleibol A7 A,CP Don Bosco A,2025-10-17 (Viernes),18:00,P.unex (Badajoz),INFANTIL,Grupo3,Femenino,Luis Bravo,,
9442,2,Club Voleibol A7 A,CP Don Bosco ,2025-10-17 (Viernes),19:30,P.unex (Badajoz),JUVENIL,Grupo3,Femenino,Luis Bravo,,
9282,2,AD DON BENITO VB B,ADV Valdelacalzada ,2025-10-17 (Viernes),18:00,Pabellón C.E.I.P. Zurbarán (Don Benito),CADETE,Grupo5,Femenino,Juan A. Cano,Abel Acero,Loli Parjo
9461,2,AD DON BENITO VB B,ADV Valdelacalzada ,2025-10-17 (Viernes),19:30,Pabellón C.E.I.P. Zurbarán (Don Benito),JUVENIL,Grupo5,Femenino,Abel Acero,Juan A. Cano,
9103,2,AD DON BENITO VB B,ADV Valdelacalzada ,2025-10-17 (Viernes),19:30,Pabellón C.E.I.P. Zurbarán (Don Benito),INFANTIL,Grupo5,Femenino,Loli Parejo,,
9448,2,Escuela Deportiva Guadalupe ,Club Voleibol A7 C,2025-10-17 (Viernes),17:00,Pabellón EVG Badajoz (Badajoz),JUVENIL,Grupo4,Femenino,José Vazquez,Angelines Verón,
9090,2,Escuela Deportiva Guadalupe ,Club Voleibol A7 C,2025-10-17 (Viernes),18:15,Pabellón EVG Badajoz (Badajoz),INFANTIL,Grupo4,Femenino,Angelines Verón,,
9269,2,Escuela Deportiva Guadalupe ,Club Voleibol A7 C,2025-10-17 (Viernes),19:30,Pabellón EVG Badajoz (Badajoz),CADETE,Grupo4,Femenino,José Vazquez,Angelines Verón,
9245,2,Club Voleibol A7 B,Club Deportivo Voleibol Zurbarán A,2025-10-18 (Sabado),10:00,Pabellón Juancho Pérez (Badajoz),CADETE,Grupo2,Femenino,Antonio Gat,,
9012,2,AD Escuelas Cacereñas de Voleibol A,Club Pacense Voleibol A,2025-10-18 (Sabado),9:30,Colegio Nazaret (Cáceres),INFANTIL,Grupo1,Femenino,José Vazquez,,Valentín Gomez
9191,2,AD Escuelas Cacereñas de Voleibol A,Club Pacense Voleibol A,2025-10-18 (Sabado),11:00,Colegio Nazaret (Cáceres),CADETE,Grupo1,Femenino,José Vazquez,Carlos García,Valentín Gomez
9370,2,AD Escuelas Cacereñas de Voleibol A,Club Pacense Voleibol A,2025-10-18 (Sabado),12:30,Colegio Nazaret (Cáceres),JUVENIL,Grupo1,Femenino,Carlos García,José Vazquez,Valentín Gomez
9130,2,CV Berlanga ,C.D. Voley Plaza Villafranca ,2025-10-18 (Sabado),9:30,P. Municipal (Berlanga),INFANTIL,Grupo7,Femenino,Garcia Morales,,
9309,2,CV Berlanga ,C.D. Voley Plaza Villafranca ,2025-10-18 (Sabado),11:00,P. Municipal (Berlanga),CADETE,Grupo7,Femenino,Garcia Morales,,
9488,2,CV Berlanga ,C.D. Voley Plaza Villafranca ,2025-10-18 (Sabado),12:30,P. Municipal (Berlanga),JUVENIL,Grupo7,Femenino,Garcia Morales,,
9283,2,Asociación Deportiva Voleibol Miajadas ,C.D. Incia ,2025-10-18 (Sabado),10:00,P. Municipal (Miajadas),CADETE,Grupo5,Femenino,Abel Acero,Melisa Cintero,Juan A. Cano
9462,2,Asociación Deportiva Voleibol Miajadas ,C.D. Incia ,2025-10-18 (Sabado),12:00,P. Municipal (Miajadas),JUVENIL,Grupo5,Femenino,Melisa Cintero,Abel Acero,
9104,2,Asociación Deportiva Voleibol Miajadas A,C.D. Incia A,2025-10-18 (Sabado),12:00,P. Municipal (Miajadas),INFANTIL,Grupo5,Femenino,Juan A. Cano,,
9042,2,AD Moraleja Voleibol A,CV Almendralejo A,2025-10-18 (Sabado),10:00,P. Municipal (Moraleja),INFANTIL,Grupo1,Femenino,Jeús Gómez,,Anot. Moraleja
9221,2,AD Moraleja Voleibol ,CV Almendralejo A,2025-10-18 (Sabado),11:30,P. Municipal (Moraleja),CADETE,Grupo1,Femenino,Jeús Gómez,,
9400,2,AD Moraleja Voleibol ,CV Almendralejo ,2025-10-18 (Sabado),13:00,P. Municipal (Moraleja),JUVENIL,Grupo1,Femenino,Jeús Gómez,,
9192,2,AD Lacimurga Vb A,CV Ntra. Sra. de la Luz ,2025-10-18 (Sabado),10:00,P. Municipal (Navalvillar de Pela),CADETE,Grupo1,Femenino,CANCELADO,,
9371,2,AD Lacimurga Vb A,CV Ntra. Sra. de la Luz ,2025-10-18 (Sabado),12:00,P. Municipal (Navalvillar de Pela),JUVENIL,Grupo1,Femenino,CANCELADO,,
9013,2,AD Lacimurga Vb A,CV Ntra. Sra. de la Luz A,2025-10-18 (Sabado),12:00,P. Municipal (Navalvillar de Pela),INFANTIL,Grupo1,Femenino,CANCELADO,,
9246,2,GMD Olivenza B,Club + Voley Badajoz A,2025-10-18 (Sabado),9:30,P. Municipal (Olivenza),CADETE,Grupo2,Femenino,Angelines Verón,,
9067,2,GMD Olivenza B,Club + Voley Badajoz A,2025-10-18 (Sabado),11:00,P. Municipal (Olivenza),INFANTIL,Grupo2,Femenino,Angelines Verón,,
9425,2,GMD Olivenza B,Club + Voley Badajoz ,2025-10-18 (Sabado),12:30,P. Municipal (Olivenza),JUVENIL,Grupo2,Femenino,Angelines Verón,,
9165,2,AD Voleibol Ribera ,Serena Voley Club ,2025-10-18 (Sabado),10:30,P. Municipal (Ribera del Fresno),INFANTIL,Grupo10,Femenino,Yolanda Berrio,,
9344,2,AD Voleibol Ribera ,Serena Voley Club ,2025-10-18 (Sabado),12:00,P. Municipal (Ribera del Fresno),CADETE,Grupo10,Femenino,Yolanda Berrio,,
9153,2,EMD Sanvicenteña ,Club Voleibol A7 E,2025-10-18 (Sabado),11:00,P. Municipal (San Vicente de Alcántara),INFANTIL,Grupo9,Femenino,Arbitros San Vicente,,
9332,2,EMD Sanvicenteña ,Club Voleibol A7 E,2025-10-18 (Sabado),12:30,P. Municipal (San Vicente de Alcántara),CADETE,Grupo9,Femenino,Arbitros San Vicente,,
9118,2,Norte de Extremadura Academii - Plasencia A,CP Licenciados Reunidos B,2025-10-18 (Sabado),12:00,P. RAF ó P. Escuela (Plasencia),INFANTIL,Grupo6,Femenino,Elsa Carrillo,,
9297,2,Norte de Extremadura Academii - Plasencia ,CP Licenciados Reunidos B,2025-10-18 (Sabado),10:00,P. RAF ó P. Escuela (Plasencia),CADETE,Grupo6,Femenino,Felx Gonzalez,Elsa Carrillo,
9476,2,Norte de Extremadura Academii - Plasencia ,CP Licenciados Reunidos B,2025-10-18 (Sabado),12:00,P. RAF ó P. Escuela (Plasencia),JUVENIL,Grupo6,Femenino,Felx Gonzalez,,
9357,2,CP Licenciados Reunidos C,CV Almendralejo B,2025-10-18 (Sabado),11:00,Pab. Colegio Licenciados Reunidos (Cáceres),CADETE,Grupo11,Femenino,Mar García ,Gabriela Lopez,Mario Gómez
9178,2,CP Licenciados Reunidos C,CV Almendralejo B,2025-10-18 (Sabado),12:30,Pab. Colegio Licenciados Reunidos (Cáceres),INFANTIL,Grupo11,Femenino,Gabriela Lopez,Mar García ,Maria Barrigón
9142,2,Club + Voley Badajoz B,EMD Villanueva del Fresno ,2025-10-18 (Sabado),10:30,Pabellón Juancho Pérez (Badajoz),INFANTIL,Grupo8,Femenino,Alicia García,,Alba Zafra
9321,2,Club + Voley Badajoz B,EMD Villanueva del Fresno ,2025-10-18 (Sabado),12:00,Pabellón Juancho Pérez (Badajoz),CADETE,Grupo8,Femenino,Antonio Gat,Alicia García,Alba Zafra
9166,2,CDV Volan Volea ,AD Lacimurga Vb B,2025-10-18 (Sabado),11:00,PABELLÓN LARES (Villanueva de la Serena),INFANTIL,Grupo10,Femenino,Raquel Gallardo,,
9345,2,CDV Volan Volea ,AD Lacimurga Vb B,2025-10-18 (Sabado),12:30,PABELLÓN LARES (Villanueva de la Serena),CADETE,Grupo10,Femenino,Raquel Gallardo,,
9270,2,FD Mérida A,CD Maristas Badajoz A,2025-10-19 (Domingo),11:45,Enjoy Mérida - Ciudad Deportiva (Mérida),CADETE,Grupo4,Femenino,Melisa Cintero,,Anot. Mérida
9449,2,FD Mérida A,CD Maristas Badajoz ,2025-10-19 (Domingo),13:15,Enjoy Mérida - Ciudad Deportiva (Mérida),JUVENIL,Grupo4,Femenino,Melisa Cintero,,Anot. Mérida
9091,2,FD Mérida A,CD Maristas Badajoz A,2025-10-19 (Domingo),10:00,P. Enjoy Mérida - Ciudad Deportiva (Mérida),INFANTIL,Grupo4,Femenino,Melisa Cintero,,Anot. Mérida
9105,2,FD Mérida B,AD Escuelas Cacereñas de Voleibol B,2025-10-19 (Domingo),10:00,P. Enjoy Mérida - Ciudad Deportiva (Mérida),INFANTIL,Grupo5,Femenino,Abel Acero,Sheila Peña,
9463,2,FD Mérida B,AD Escuelas Cacereñas de Voleibol B,2025-10-19 (Domingo),11:30,P. Enjoy Mérida - Ciudad Deportiva (Mérida),JUVENIL,Grupo5,Femenino,Abel Acero,Sheila Peña,
9284,2,FD Mérida B,AD Escuelas Cacereñas de Voleibol B,2025-10-19 (Domingo),13:00,P. Enjoy Mérida - Ciudad Deportiva (Mérida),CADETE,Grupo5,Femenino,Abel Acero,Sheila Peña,
9356,2,ED Casareña ,AD Batalla de Pavia ,2025-10-19 (Domingo),10:00,P. Municipal (Casar de Cáceres),CADETE,Grupo11,Femenino,Jesús Gomez,,
9177,2,ED Casareña ,AD Batalla de Pavia ,2025-10-19 (Domingo),11:30,P. Municipal (Casar de Cáceres),INFANTIL,Grupo11,Femenino,Jesús Gomez,,
9015,2,CP Licenciados Reunidos A,AD DON BENITO VB A,2025-10-19 (Domingo),9:30,Pab. Colegio Licenciados Reunidos (Cáceres),INFANTIL,Grupo1,Femenino,Felix Gonzalez,José Vazquez,Anot. Licenciados
9194,2,CP Licenciados Reunidos A,AD DON BENITO VB A,2025-10-19 (Domingo),11:00,Pab. Colegio Licenciados Reunidos (Cáceres),CADETE,Grupo1,Femenino,Javi Erce,,Anot. Licenciados
9373,2,CP Licenciados Reunidos A,AD DON BENITO VB A,2025-10-19 (Domingo),12:30,Pab. Colegio Licenciados Reunidos (Cáceres),JUVENIL,Grupo1,Femenino,Javi Erce,,Anot. Licenciados
9437,2,Club Pacense Voleibol B,GMD Olivenza A,2025-10-19 (Domingo),10:00,Pabellón Juancho Pérez (Badajoz),JUVENIL,Grupo3,Femenino,Antonio Gat,,
9079,2,Club Pacense Voleibol B,GMD Olivenza A,2025-10-19 (Domingo),10:00,Pabellón Juancho Pérez (Badajoz),INFANTIL,Grupo3,Femenino,Elena Gil,,
9258,2,Club Pacense Voleibol B,GMD Olivenza A,2025-10-19 (Domingo),12:00,Pabellón Juancho Pérez (Badajoz),CADETE,Grupo3,Femenino,Antonio Gat,Elena Gil,
9320,2, CV Almendralejo C,Club Voleibol A7 D,2025-10-19 (Domingo),9:30,P. San Roque (Almendralejo),CADETE,Grupo8,Femenino,Luis Bravo,García Morales,
9141,2, CV Almendralejo C,Club Voleibol A7 D,2025-10-19 (Domingo),11:00,P. San Roque (Almendralejo),INFANTIL,Grupo8,Femenino,García Morales,,
